iter	Passed	Remaining
0	168	168652
1	173	86475
2	184	61261
3	194	48459
4	200	39977
5	207	34449
6	209	29698
7	218	27128
8	230	25332
9	240	23839
10	250	22564
11	256	21148
12	258	19604
13	264	18629
14	269	17711
15	271	16676
16	275	15947
17	282	15433
18	284	14666
19	288	14118
20	294	13728
21	301	13415
22	304	12955
23	309	12579
24	313	12232
25	323	12100
26	332	11987
27	334	11619
28	343	11515
29	355	11483
30	359	11236
31	360	10906
32	365	10720
33	368	10467
34	370	10213
35	374	10031
36	386	10057
37	391	9903
38	395	9742
39	397	9536
40	405	9475
41	410	9372
42	419	9336
43	420	9145
44	425	9034
45	429	8898
46	438	8883
47	446	8854
48	448	8712
49	455	8648
50	459	8548
51	463	8445
52	465	8309
53	478	8386
54	482	8295
55	490	8267
56	498	8253
57	501	8151
58	505	8054
59	513	8046
60	518	7978
61	522	7907
62	530	7887
63	548	8026
64	558	8029
65	567	8027
66	572	7975
67	574	7868
68	586	7913
69	595	7910
70	604	7905
71	612	7900
72	617	7839
73	625	7824
74	633	7814
75	637	7745
76	647	7758
77	652	7712
78	660	7698
79	662	7617
80	663	7532
81	674	7550
82	678	7499
83	689	7515
84	698	7522
85	701	7458
86	707	7421
87	712	7386
88	715	7326
89	722	7301
90	724	7237
91	727	7175
92	729	7118
93	738	7113
94	743	7082
95	762	7176
96	765	7124
97	775	7137
98	783	7126
99	791	7122
100	798	7111
101	800	7051
102	804	7007
103	809	6970
104	819	6984
105	823	6941
106	826	6895
107	833	6881
108	837	6846
109	851	6889
110	864	6924
111	876	6951
112	884	6946
113	892	6935
114	896	6895
115	900	6860
116	903	6815
117	909	6801
118	917	6793
119	930	6820
120	931	6767
121	939	6757
122	948	6764
123	971	6863
124	981	6868
125	986	6845
126	993	6827
127	994	6776
128	1000	6753
129	1001	6701
130	1009	6697
131	1019	6705
132	1033	6738
133	1039	6720
134	1048	6716
135	1050	6671
136	1058	6670
137	1066	6664
138	1068	6617
139	1076	6612
140	1081	6589
141	1084	6554
142	1090	6536
143	1101	6548
144	1104	6513
145	1110	6494
146	1115	6472
147	1119	6445
148	1123	6418
149	1127	6391
150	1129	6353
151	1131	6314
152	1133	6276
153	1135	6239
154	1139	6213
155	1145	6199
156	1150	6178
157	1151	6137
